Male - Midstream Urine - 11580,Female - Midstream Urine - 26344,Male - Indwelling Catheter - 5383,Female - Indwelling Catheter - 4677,Male - Intermittent Catheter - 4269,Female - Intermittent Catheter - 4828
32.47,19.46,42.74959,42.33,34.03,37.89
32.47,19.46,42.79,42.37,34.04,37.9
32.48,19.47,42.81773,42.38,34.06,37.9027
32.49,19.47,42.82,42.46,34.08,37.90547
32.5,19.47,42.83,42.49,34.08,37.91
32.51,19.47,42.88,42.51,34.16,37.91
32.53,19.48,42.91,42.52,34.16,37.922
32.57,19.48,42.96,42.53,34.22,37.94
32.58,19.49,42.97,42.58,34.23145,37.95
32.63,19.5,43.01,42.59,34.25,37.98
32.63,19.51,43.03,42.62,34.267,38.002
32.63,19.51,43.06,42.64,34.28,38.009
32.64,19.51,43.07,42.7,34.3,38.012
32.65,19.51,43.07534,42.77,34.396,38.03
32.65,19.51,43.14,42.78,34.4,38.06
32.66,19.52,43.15,42.79,34.4,38.06
32.67,19.52,43.15,42.8,34.423,38.1
32.68,19.52,43.16,42.81,34.48899,38.1
32.72,19.52,43.18,42.92,34.51,38.10325
32.72,19.53,43.21,43.1,34.579,38.11
32.72,19.53,43.25,43.1197,34.58,38.13
32.72,19.54,43.34068,43.12,34.59,38.14
32.74,19.54,43.36,43.15489,34.59,38.147
32.75,19.55,43.41,43.16,34.64,38.16
32.81,19.55,43.43,43.17,34.67,38.21
32.81,19.55,43.43698,43.18,34.71,38.24
32.82,19.55,43.4676,43.21,34.72,38.27
32.85,19.55,43.53,43.21,34.75203,38.3
32.88,19.56,43.53065,43.24207,34.8,38.303
32.88,19.56,43.56,43.25,34.82,38.32
32.91,19.56,43.56,43.31,34.85,38.408
32.91,19.58,43.56,43.31056,34.85,38.43
32.97,19.59,43.56883,43.35,34.9,38.51
33.03,19.59,43.58,43.41,34.92,38.62
33.04,19.6,43.66,43.49,34.97,38.657
33.07,19.6,43.69,43.54,34.974,38.657
33.07,19.61,43.69,43.55,35.01,38.66
33.1,19.61,43.77,43.58,35.018,38.67538
33.1,19.61,43.77,43.63,35.03,38.74
33.11,19.64,43.81195,43.68,35.03695,38.74
33.16,19.64,43.86,43.68,35.05067,38.76295
33.18,19.65,44.07,43.74,35.08,38.77
33.19,19.65,44.07,43.74,35.13012,38.80971
33.2,19.67,44.08,43.75,35.14,38.818
33.21,19.68,44.11,43.75,35.141,38.88
33.23,19.68,44.16,43.77,35.218,38.89
33.27,19.69,44.26,43.77,35.24793,38.94
33.28,19.69,44.28,43.78,35.3,39.092
